mapa,algoritmo,melhor_custo,pior_custo,custo_medio,tempo_medio_s,iteracoes_media,taxa_sucesso
mapas/coletas_03.txt,Hill-Climbing,190.00,190.00,190.00,0.000036,2.1,100.00%
mapas/coletas_03.txt,Simulated Annealing,190.00,190.00,190.00,0.006395,1838.0,100.00%
