mapa,algoritmo,execucao,custo
mapas/coletas_03.txt,Hill-Climbing,1,190.00
mapas/coletas_03.txt,Hill-Climbing,2,190.00
mapas/coletas_03.txt,Hill-Climbing,3,190.00
mapas/coletas_03.txt,Hill-Climbing,4,190.00
mapas/coletas_03.txt,Hill-Climbing,5,190.00
mapas/coletas_03.txt,Hill-Climbing,6,190.00
mapas/coletas_03.txt,Hill-Climbing,7,190.00
mapas/coletas_03.txt,Hill-Climbing,8,190.00
mapas/coletas_03.txt,Hill-Climbing,9,190.00
mapas/coletas_03.txt,Hill-Climbing,10,190.00
mapas/coletas_03.txt,Hill-Climbing,11,190.00
mapas/coletas_03.txt,Hill-Climbing,12,190.00
mapas/coletas_03.txt,Hill-Climbing,13,190.00
mapas/coletas_03.txt,Hill-Climbing,14,190.00
mapas/coletas_03.txt,Hill-Climbing,15,190.00
mapas/coletas_03.txt,Hill-Climbing,16,190.00
mapas/coletas_03.txt,Hill-Climbing,17,190.00
mapas/coletas_03.txt,Hill-Climbing,18,190.00
mapas/coletas_03.txt,Hill-Climbing,19,190.00
mapas/coletas_03.txt,Hill-Climbing,20,190.00
mapas/coletas_03.txt,Hill-Climbing,21,190.00
mapas/coletas_03.txt,Hill-Climbing,22,190.00
mapas/coletas_03.txt,Hill-Climbing,23,190.00
mapas/coletas_03.txt,Hill-Climbing,24,190.00
mapas/coletas_03.txt,Hill-Climbing,25,190.00
mapas/coletas_03.txt,Hill-Climbing,26,190.00
mapas/coletas_03.txt,Hill-Climbing,27,190.00
mapas/coletas_03.txt,Hill-Climbing,28,190.00
mapas/coletas_03.txt,Hill-Climbing,29,190.00
mapas/coletas_03.txt,Hill-Climbing,30,190.00
mapas/coletas_03.txt,Simulated Annealing,1,190.00
mapas/coletas_03.txt,Simulated Annealing,2,190.00
mapas/coletas_03.txt,Simulated Annealing,3,190.00
mapas/coletas_03.txt,Simulated Annealing,4,190.00
mapas/coletas_03.txt,Simulated Annealing,5,190.00
mapas/coletas_03.txt,Simulated Annealing,6,190.00
mapas/coletas_03.txt,Simulated Annealing,7,190.00
mapas/coletas_03.txt,Simulated Annealing,8,190.00
mapas/coletas_03.txt,Simulated Annealing,9,190.00
mapas/coletas_03.txt,Simulated Annealing,10,190.00
mapas/coletas_03.txt,Simulated Annealing,11,190.00
mapas/coletas_03.txt,Simulated Annealing,12,190.00
mapas/coletas_03.txt,Simulated Annealing,13,190.00
mapas/coletas_03.txt,Simulated Annealing,14,190.00
mapas/coletas_03.txt,Simulated Annealing,15,190.00
mapas/coletas_03.txt,Simulated Annealing,16,190.00
mapas/coletas_03.txt,Simulated Annealing,17,190.00
mapas/coletas_03.txt,Simulated Annealing,18,190.00
mapas/coletas_03.txt,Simulated Annealing,19,190.00
mapas/coletas_03.txt,Simulated Annealing,20,190.00
mapas/coletas_03.txt,Simulated Annealing,21,190.00
mapas/coletas_03.txt,Simulated Annealing,22,190.00
mapas/coletas_03.txt,Simulated Annealing,23,190.00
mapas/coletas_03.txt,Simulated Annealing,24,190.00
mapas/coletas_03.txt,Simulated Annealing,25,190.00
mapas/coletas_03.txt,Simulated Annealing,26,190.00
mapas/coletas_03.txt,Simulated Annealing,27,190.00
mapas/coletas_03.txt,Simulated Annealing,28,190.00
mapas/coletas_03.txt,Simulated Annealing,29,190.00
mapas/coletas_03.txt,Simulated Annealing,30,190.00
