passo,linha,coluna
515,13,17
516,13,18
517,13,19
518,13,20
519,13,19
520,13,18
521,13,17
522,12,17
523,11,17
524,11,16
525,11,15
526,11,14
527,11,13
528,11,12
529,11,11
530,11,10
531,11,9
532,10,9
533,9,9
534,9,8
535,9,7
536,9,6
537,9,5
538,10,5
539,11,5
540,12,5
541,13,5
542,14,5
543,15,5
544,16,5
545,17,5
546,18,5
547,19,5
548,19,4
549,19,3
550,18,3
551,17,3
552,17,2
553,17,1
554,16,1
555,15,1
556,14,1
557,13,1
558,12,1
559,11,1
560,10,1
561,9,1
562,9,2
563,9,3
564,10,3
565,11,3
566,12,3
567,13,3
568,14,3
569,13,3
570,12,3
571,11,3
572,10,3
573,9,3
574,9,2
575,9,1
576,10,1
577,11,1
578,12,1
579,13,1
580,14,1
581,15,1
582,16,1
583,17,1
584,18,1
585,19,1
586,20,1
587,21,1
588,22,1
589,23,1
590,24,1
591,25,1
592,26,1
593,27,1
594,27,2
595,27,3
596,27,4
597,27,5
598,26,5
599,25,5
600,25,4
601,25,3
602,24,3
603,23,3
604,23,4
605,23,5
606,23,6
607,23,7
608,24,7
609,25,7
610,26,7
611,27,7
612,27,8
613,27,9
614,28,9
615,29,9
616,30,9
617,31,9
618,31,8
619,31,7
620,30,7
621,29,7
622,29,6
623,29,5
624,30,5
625,31,5
626,31,4
627,31,3
628,30,3
629,29,3
630,29,2
631,29,1
632,30,1
633,31,1
634,30,1
635,29,1
636,29,2
637,29,3
638,30,3
639,31,3
640,31,4
641,31,5
642,30,5
643,29,5
644,29,6
645,29,7
646,30,7
647,31,7
648,31,8
649,31,9
650,31,10
651,31,11
652,30,11
653,29,11
654,28,11
655,27,11
656,26,11
657,25,11
658,25,12
659,25,13
660,26,13
661,25,13
662,25,14
663,25,15
664,24,15
665,23,15
666,23,14
667,23,13
668,23,12
669,23,11
670,23,10
671,23,9
672,22,9
673,21,9
674,20,9
675,19,9
676,18,9
677,17,9
678,17,8
679,17,7
680,16,7
681,15,7
682,14,7
683,13,7
684,12,7
685,13,7
686,13,8
687,13,9
688,14,9
689,15,9
690,15,10
691,15,11
692,14,11
693,15,11
694,16,11
695,17,11
696,18,11
697,19,11
698,20,11
699,21,11
700,21,12
701,21,13
702,21,14
703,21,15
704,20,15
705,19,15
706,19,14
707,19,15
708,20,15
709,21,15
710,21,16
711,21,17
712,22,17
713,21,17
714,21,16
715,21,15
716,21,14
717,21,13
718,21,12
719,21,11
720,20,11
721,19,11
722,18,11
723,17,11
724,16,11
725,15,11
726,15,10
727,15,9
728,14,9
729,13,9
730,13,8
731,13,7
732,14,7
733,15,7
734,16,7
735,17,7
736,18,7
737,19,7
738,20,7
739,21,7
740,21,6
741,21,5
742,21,4
743,21,5
744,21,6
745,21,7
746,20,7
747,19,7
748,18,7
749,17,7
750,17,8
751,17,9
752,18,9
753,19,9
754,20,9
755,21,9
756,22,9
757,23,9
758,24,9
759,23,9
760,23,10
761,23,11
762,23,12
763,23,13
764,23,14
765,23,15
766,24,15
767,25,15
768,25,14
769,25,13
770,25,12
771,25,11
772,26,11
773,27,11
774,28,11
775,29,11
776,30,11
777,31,11
778,31,10
779,31,9
780,30,9
781,29,9
782,28,9
783,27,9
784,27,8
785,27,7
786,26,7
787,25,7
788,24,7
789,23,7
790,23,6
791,23,5
792,23,4
793,23,3
794,24,3
795,25,3
796,25,4
797,25,5
798,26,5
799,27,5
800,27,4
801,27,3
802,27,2
803,27,1
804,26,1
805,25,1
806,24,1
807,23,1
808,22,1
809,21,1
810,20,1
811,19,1
812,18,1
813,17,1
814,17,2
815,17,3
816,18,3
817,19,3
818,19,4
819,19,5
820,18,5
821,17,5
822,16,5
823,15,5
824,14,5
825,13,5
826,12,5
827,11,5
828,10,5
829,9,5
830,9,6
831,9,7
832,9,8
833,9,9
834,9,10
835,9,11
836,9,12
837,9,11
838,9,10
839,9,9
840,10,9
841,11,9
842,11,10
843,11,11
844,11,12
845,11,13
846,11,14
847,11,15
848,11,16
849,11,17
850,11,18
851,11,19
852,11,20
853,11,21
854,11,22
855,11,23
856,12,23
857,13,23
858,14,23
859,15,23
860,15,24
861,15,23
862,15,22
863,15,21
864,15,20
865,15,19
866,15,18
867,15,17
868,15,16
869,15,15
870,14,15
871,13,15
872,13,14
873,13,13
874,14,13
875,15,13
876,16,13
877,17,13
878,17,14
879,17,15
880,17,16
881,17,17
882,18,17
883,19,17
884,19,18
885,19,19
886,19,20
887,19,21
888,20,21
889,21,21
890,21,22
891,21,21
892,21,20
893,21,19
894,22,19
895,23,19
896,23,20
897,23,21
898,23,22
899,23,23
900,24,23
901,25,23
902,26,23
903,27,23
904,27,22
905,27,21
906,27,20
907,27,19
908,28,19
909,29,19
910,29,18
911,29,19
912,29,20
913,29,21
914,29,22
915,29,21
916,29,20
917,29,19
918,28,19
919,27,19
920,27,20
921,27,21
922,27,22
923,27,23
924,26,23
925,25,23
926,25,22
927,25,21
928,25,20
929,25,19
930,25,18
931,25,17
932,26,17
933,27,17
934,27,16
935,27,15
936,28,15
937,29,15
938,29,14
939,29,13
940,30,13
941,31,13
942,31,14
943,31,15
944,31,16
945,31,17
946,31,18
947,31,19
948,31,20
949,31,21
950,31,22
951,31,23
952,31,24
953,31,25
954,31,26
955,31,27
956,30,27
957,29,27
958,29,28
959,29,29
960,30,29
961,31,29
962,31,30
963,31,31
964,30,31
965,29,31
966,29,32
967,29,33
968,29,34
969,29,35
970,29,36
971,29,37
972,28,37
973,27,37
974,26,37
975,25,37
976,24,37
977,23,37
978,22,37
979,21,37
980,21,36
981,21,35
982,22,35
983,23,35
984,23,34
985,23,33
986,24,33
987,25,33
988,25,34
989,25,35
990,26,35
991,27,35
992,27,34
993,27,33
994,27,32
995,27,31
996,26,31
997,25,31
998,25,30
999,25,29
1000,24,29
1001,23,29
1002,23,30
1003,23,31
1004,22,31
1005,21,31
1006,21,30
1007,21,29
1008,20,29
1009,19,29
1010,19,28
1011,19,29
1012,19,30
1013,19,29
1014,20,29
1015,21,29
1016,21,30
1017,21,31
1018,21,32
1019,21,31
1020,22,31
1021,23,31
1022,23,30
1023,23,29
1024,24,29
1025,25,29
1026,26,29
1027,27,29
1028,27,28
1029,27,27
1030,26,27
1031,27,27
1032,27,28
1033,27,29
1034,26,29
1035,25,29
1036,25,30
1037,25,31
1038,26,31
1039,27,31
1040,27,32
1041,27,33
1042,27,34
1043,27,35
1044,26,35
1045,25,35
1046,25,34
1047,25,33
1048,24,33
1049,23,33
1050,23,34
1051,23,35
1052,22,35
1053,21,35
1054,21,36
1055,21,37
1056,21,38
1057,21,39
1058,20,39
1059,19,39
1060,18,39
1061,17,39
1062,16,39
1063,15,39
1064,14,39
1065,15,39
1066,16,39
1067,17,39
1068,17,38
1069,17,37
1070,18,37
1071,17,37
1072,17,38
1073,17,39
1074,17,40
1075,17,41
1076,18,41
1077,19,41
1078,19,42
1079,19,43
1080,19,44
1081,19,45
1082,19,46
1083,19,47
1084,18,47
1085,17,47
1086,18,47
1087,19,47
1088,20,47
1089,21,47
1090,21,46
1091,21,45
1092,21,44
1093,21,43
1094,21,42
1095,21,41
1096,22,41
1097,23,41
1098,23,42
1099,23,43
1100,23,44
1101,23,45
1102,24,45
1103,25,45
1104,26,45
1105,27,45
1106,28,45
1107,29,45
1108,30,45
1109,31,45
1110,31,44
1111,31,43
1112,30,43
1113,29,43
1114,29,42
1115,29,41
1116,30,41
1117,31,41
1118,31,40
1119,31,39
1120,30,39
1121,29,39
1122,28,39
1123,27,39
1124,27,40
1125,27,41
1126,26,41
1127,25,41
1128,25,40
1129,25,39
1130,24,39
1131,25,39
1132,25,40
1133,25,41
1134,25,42
1135,25,43
1136,26,43
1137,25,43
1138,25,42
1139,25,41
1140,26,41
1141,27,41
1142,27,40
1143,27,39
1144,28,39
1145,29,39
1146,30,39
1147,31,39
1148,31,38
1149,31,37
1150,31,36
1151,31,35
1152,31,34
1153,31,33
1154,31,34
1155,31,35
1156,31,36
1157,31,37
1158,31,38
1159,31,39
1160,31,40
1161,31,41
1162,30,41
1163,29,41
1164,29,42
1165,29,43
1166,30,43
1167,31,43
1168,31,44
1169,31,45
1170,31,46
1171,31,47
1172,31,48
