mapa,algoritmo,melhor_custo,pior_custo,custo_medio,tempo_medio_s,iteracoes_media,taxa_sucesso
mapas/coletas_02.txt,Hill-Climbing,314.00,314.00,314.00,0.000039,2.2,100.00%
mapas/coletas_02.txt,Simulated Annealing,314.00,314.00,314.00,0.006051,1838.0,100.00%
